dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
vimeo-rl,vimeo-RL_00018_0043,part3_A_rectified_flow,7,,,,0.1348,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0043_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0043,part3_B_flow_stabilized,7,,,,0.1482,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0043_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0043,part3_B_temporal_gen_blend,7,,,,0.1400,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0043_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0043,part3_C_uncertainty_adaptive,7,,,,0.1424,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0043_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0044,part3_A_rectified_flow,7,,,,0.1398,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0044_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0044,part3_B_flow_stabilized,7,,,,0.1562,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0044_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0044,part3_B_temporal_gen_blend,7,,,,0.1392,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0044_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0044,part3_C_uncertainty_adaptive,7,,,,0.1502,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0044_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0198,part3_A_rectified_flow,7,,,,0.1227,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0198_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0198,part3_B_flow_stabilized,7,,,,0.1256,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0198_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0198,part3_B_temporal_gen_blend,7,,,,0.1232,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0198_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0198,part3_C_uncertainty_adaptive,7,,,,0.1269,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0198_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0206,part3_A_rectified_flow,7,,,,0.0267,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0206_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0206,part3_B_flow_stabilized,7,,,,0.0300,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0206_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0206,part3_B_temporal_gen_blend,7,,,,0.0263,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0206_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0206,part3_C_uncertainty_adaptive,7,,,,0.0280,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0206_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0207,part3_A_rectified_flow,7,,,,0.1440,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0207_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0207,part3_B_flow_stabilized,7,,,,0.1501,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0207_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0207,part3_B_temporal_gen_blend,7,,,,0.1413,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0207_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0207,part3_C_uncertainty_adaptive,7,,,,0.1476,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0207_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0209,part3_A_rectified_flow,7,,,,0.1270,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0209_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0209,part3_B_flow_stabilized,7,,,,0.1350,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0209_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0209,part3_B_temporal_gen_blend,7,,,,0.1269,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0209_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0209,part3_C_uncertainty_adaptive,7,,,,0.1302,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0209_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0211,part3_A_rectified_flow,7,,,,0.0406,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0211_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0211,part3_B_flow_stabilized,7,,,,0.0456,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0211_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0211,part3_B_temporal_gen_blend,7,,,,0.0408,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0211_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0211,part3_C_uncertainty_adaptive,7,,,,0.0429,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0211_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0212,part3_A_rectified_flow,7,,,,0.1216,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0212_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0212,part3_B_flow_stabilized,7,,,,0.1335,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0212_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0212,part3_B_temporal_gen_blend,7,,,,0.1257,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0212_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
